,use_multi_rate,mean_loss,beta,lr
0,False,0.2154772906253735,0.010000000000000004,0.01
0,False,0.212559550255537,0.010000000000000004,0.003
0,False,0.21350509213904542,0.010000000000000004,0.001
0,False,0.21852106725176176,0.010000000000000004,0.0003
0,False,0.226353511835138,0.010000000000000004,0.0001
0,False,0.23953224619229632,0.010000000000000004,3e-05
0,False,0.2605188654114803,0.010000000000000004,1e-05
0,False,0.2660856187343597,0.02154434690031885,0.01
0,False,0.26420211941003796,0.02154434690031885,0.003
0,False,0.2640310689806938,0.02154434690031885,0.001
0,False,0.2673605561256409,0.02154434690031885,0.0003
0,False,0.2717683287958304,0.02154434690031885,0.0001
0,False,0.28266526833176614,0.02154434690031885,3e-05
0,False,0.28698124090830485,0.02154434690031885,1e-05
0,False,0.2901969427863757,0.046415888336127815,0.01
0,False,0.29009493490060173,0.046415888336127815,0.003
0,False,0.2900583580136299,0.046415888336127815,0.001
0,False,0.29006551653146745,0.046415888336127815,0.0003
0,False,0.2903076181809108,0.046415888336127815,0.0001
0,False,0.29075336729486784,0.046415888336127815,3e-05
0,False,0.2911670543253422,0.046415888336127815,1e-05
0,False,0.2901960372924805,0.10000000000000002,0.01
0,False,0.29019723236560824,0.10000000000000002,0.003
0,False,0.2901945230861505,0.10000000000000002,0.001
0,False,0.29021909087896347,0.10000000000000002,0.0003
0,False,0.2903908096253872,0.10000000000000002,0.0001
0,False,0.29089265937606495,0.10000000000000002,3e-05
0,False,0.29135781501730285,0.10000000000000002,1e-05
0,False,0.29019642248749733,0.21544346900318845,0.01
0,False,0.2901956411699454,0.21544346900318845,0.003
0,False,0.2901964902877808,0.21544346900318845,0.001
0,False,0.2902190449337165,0.21544346900318845,0.0003
0,False,0.2903859503567219,0.21544346900318845,0.0001
0,False,0.29093552778164544,0.21544346900318845,3e-05
0,False,0.2914448857307434,0.21544346900318845,1e-05
0,False,0.2901966358224551,0.4641588833612781,0.01
0,False,0.29019745091597243,0.4641588833612781,0.003
0,False,0.29019533246755597,0.4641588833612781,0.001
0,False,0.290219413737456,0.4641588833612781,0.0003
0,False,0.2903819794456164,0.4641588833612781,0.0001
0,False,0.2909523343046506,0.4641588833612781,3e-05
0,False,0.2914843256274859,0.4641588833612781,1e-05
0,False,0.29019664674997325,1.0,0.01
0,False,0.29019687200586003,1.0,0.003
0,False,0.29019611900051434,1.0,0.001
0,False,0.2902197207013766,1.0,0.0003
0,False,0.2903799844284852,1.0,0.0001
0,False,0.29095927327871324,1.0,3e-05
0,False,0.2915026992559433,1.0,1e-05
0,False,0.2901971111694972,2.154434690031884,0.01
0,False,0.29019621734817824,2.154434690031884,0.003
0,False,0.2901956925789515,2.154434690031884,0.001
0,False,0.29021977235873536,2.154434690031884,0.0003
0,False,0.2903792329132557,2.154434690031884,0.0001
0,False,0.290962710728248,2.154434690031884,3e-05
0,False,0.29151228020588554,2.154434690031884,1e-05
0,False,0.29019654815395673,4.641588833612779,0.01
0,False,0.2901969035466512,4.641588833612779,0.003
0,False,0.29019751921296116,4.641588833612779,0.001
0,False,0.2902200815578302,4.641588833612779,0.0003
0,False,0.29037918473283447,4.641588833612779,0.0001
0,False,0.2909647949039936,4.641588833612779,3e-05
0,False,0.29151964336633684,4.641588833612779,1e-05
0,False,0.2901976950466633,10.000000000000002,0.01
0,False,0.29019651090105375,10.000000000000002,0.003
0,False,0.2901983330647151,10.000000000000002,0.001
0,False,0.29022066841522853,10.000000000000002,0.0003
0,False,0.29038003310561183,10.000000000000002,0.0001
0,False,0.2909666791558266,10.000000000000002,3e-05
0,False,0.2915292484064897,10.000000000000002,1e-05
